line_number,timestamp,ip,method,endpoint,status,latency_ms,score,reasons
196173,2024-06-16 10:27:59,148.9.19.27,GET,/api/v1/userN,500,9250,4,server_error
196174,2024-06-16 10:27:59,199.71.56.65,GET,/searchN,500,7323,4,server_error
196175,2024-06-16 10:28:02,14.121.165.122,POST,/checkoutN,504,8565,4,server_error
196176,2024-06-16 10:28:07,215.143.100.205,GET,/searchN,504,9191,4,server_error
196177,2024-06-16 10:28:11,80.130.43.26,POST,/checkoutN,500,8889,4,server_error
196178,2024-06-16 10:28:16,199.71.56.65,POST,/checkoutN,504,10622,4,server_error
196179,2024-06-16 10:28:22,12.104.185.44,POST,/checkoutN,504,10939,4,server_error
196180,2024-06-16 10:28:26,12.104.185.44,GET,/cartN,500,7271,4,server_error
196181,2024-06-16 10:28:28,187.91.79.110,GET,/api/v1/userN,504,10847,4,server_error
196182,2024-06-16 10:28:33,12.104.185.44,GET,/cartN,500,6920,4,server_error
196183,2024-06-16 10:28:34,196.45.2.86,POST,/checkoutN,500,10066,4,server_error
196184,2024-06-16 10:28:36,199.71.56.65,GET,/productsN,500,6788,4,server_error
196185,2024-06-16 10:28:38,202.129.225.117,GET,/indexN.html,500,6731,4,server_error
196186,2024-06-16 10:28:40,14.252.124.193,GET,/cartN,500,6154,4,server_error
196187,2024-06-16 10:28:44,199.242.130.73,GET,/indexN.html,504,8482,4,server_error
196188,2024-06-16 10:28:45,162.240.218.117,GET,/indexN.html,504,7948,4,server_error
196189,2024-06-16 10:28:49,209.103.8.44,GET,/api/v1/userN,500,10074,4,server_error
196190,2024-06-16 10:28:51,209.103.8.44,GET,/searchN,500,9389,4,server_error
196191,2024-06-16 10:28:52,14.121.165.122,GET,/searchN,500,10474,4,server_error
196192,2024-06-16 10:28:54,197.82.237.190,GET,/productsN,504,8435,4,server_error
196193,2024-06-16 10:28:55,12.104.185.44,POST,/checkoutN,504,9058,4,server_error
196194,2024-06-16 10:28:58,80.130.43.26,POST,/checkoutN,500,8140,4,server_error
196195,2024-06-16 10:28:59,187.91.79.110,GET,/indexN.html,504,11289,4,server_error
196196,2024-06-16 10:29:02,196.45.2.86,GET,/cartN,500,9845,4,server_error
196197,2024-06-16 10:29:05,199.71.56.65,GET,/productsN,504,7228,4,server_error
196198,2024-06-16 10:29:08,187.91.79.110,GET,/api/v1/userN,504,11677,4,server_error
196199,2024-06-16 10:29:10,209.103.8.44,POST,/checkoutN,500,6779,4,server_error
196200,2024-06-16 10:29:12,95.125.101.128,GET,/cartN,504,7743,4,server_error
196201,2024-06-16 10:29:15,119.123.55.141,GET,/cartN,504,8383,4,server_error
196202,2024-06-16 10:29:19,211.92.75.1,GET,/indexN.html,500,6860,4,server_error
196203,2024-06-16 10:29:22,14.252.124.193,GET,/productsN,500,8378,4,server_error
196204,2024-06-16 10:29:25,197.82.237.190,GET,/cartN,504,10758,4,server_error
196205,2024-06-16 10:29:26,196.45.2.86,GET,/indexN.html,500,10488,4,server_error
196206,2024-06-16 10:29:33,12.104.185.44,GET,/cartN,504,6223,4,server_error
196207,2024-06-16 10:29:38,14.121.165.122,GET,/api/v1/userN,500,11204,4,server_error
196208,2024-06-16 10:29:44,131.33.12.73,GET,/api/v1/userN,504,9784,4,server_error
196209,2024-06-16 10:29:49,215.143.100.205,GET,/indexN.html,500,9312,4,server_error
196210,2024-06-16 10:29:56,202.129.225.117,GET,/indexN.html,500,11897,4,server_error
196211,2024-06-16 10:30:00,209.103.8.44,GET,/cartN,504,10307,4,server_error
196212,2024-06-16 10:30:01,95.125.101.128,POST,/checkoutN,504,8009,4,server_error
196213,2024-06-16 10:30:03,95.125.101.128,GET,/indexN.html,500,8554,4,server_error
196214,2024-06-16 10:30:08,209.103.8.44,POST,/checkoutN,500,8956,4,server_error
196215,2024-06-16 10:30:09,131.33.12.73,GET,/cartN,504,7035,4,server_error
196216,2024-06-16 10:30:10,199.242.130.73,GET,/indexN.html,500,8374,4,server_error
196217,2024-06-16 10:30:14,215.143.100.205,GET,/searchN,500,11893,4,server_error
196218,2024-06-16 10:30:19,197.82.237.190,GET,/api/v1/userN,504,10388,4,server_error
196219,2024-06-16 10:30:21,131.33.12.73,GET,/cartN,500,10683,4,server_error
196220,2024-06-16 10:30:23,80.130.43.26,GET,/searchN,504,11862,4,server_error
196221,2024-06-16 10:30:28,14.252.124.193,GET,/cartN,500,9122,4,server_error
196222,2024-06-16 10:30:32,197.82.237.190,GET,/searchN,504,10841,4,server_error
196223,2024-06-16 10:30:33,95.125.101.128,GET,/productsN,504,9284,4,server_error
196224,2024-06-16 10:30:35,139.94.203.41,GET,/productsN,504,6941,4,server_error
196225,2024-06-16 10:30:39,199.71.56.65,GET,/indexN.html,504,9011,4,server_error
196226,2024-06-16 10:30:43,95.125.101.128,GET,/api/v1/userN,500,10607,4,server_error
196227,2024-06-16 10:30:47,80.130.43.26,GET,/searchN,500,6005,4,server_error
196228,2024-06-16 10:30:52,95.125.101.128,GET,/productsN,500,6548,4,server_error
196229,2024-06-16 10:30:55,14.252.124.193,POST,/checkoutN,504,6387,4,server_error
196230,2024-06-16 10:31:00,202.129.225.117,GET,/cartN,504,11265,4,server_error
196231,2024-06-16 10:31:06,162.240.218.117,GET,/api/v1/userN,504,7874,4,server_error
196232,2024-06-16 10:31:10,80.130.43.26,GET,/searchN,500,10287,4,server_error
196233,2024-06-16 10:31:12,80.130.43.26,GET,/searchN,500,9240,4,server_error
196234,2024-06-16 10:31:19,187.91.79.110,POST,/checkoutN,504,11383,4,server_error
196235,2024-06-16 10:31:24,209.103.8.44,GET,/productsN,500,11648,4,server_error
196236,2024-06-16 10:31:28,80.130.43.26,POST,/checkoutN,500,11263,4,server_error
196237,2024-06-16 10:31:30,14.252.124.193,GET,/productsN,500,11611,4,server_error
196238,2024-06-16 10:31:31,139.94.203.41,POST,/checkoutN,500,11723,4,server_error
196239,2024-06-16 10:31:35,196.45.2.86,GET,/searchN,504,6040,4,server_error
196240,2024-06-16 10:31:39,199.71.56.65,GET,/cartN,504,11557,4,server_error
196241,2024-06-16 10:31:41,199.71.56.65,GET,/indexN.html,504,9848,4,server_error
196242,2024-06-16 10:31:43,14.121.165.122,GET,/productsN,504,8498,4,server_error
196243,2024-06-16 10:31:50,119.123.55.141,GET,/searchN,500,7752,4,server_error
196244,2024-06-16 10:31:54,202.129.225.117,GET,/productsN,504,11576,4,server_error
196245,2024-06-16 10:31:58,197.82.237.190,GET,/productsN,504,11981,4,server_error
196246,2024-06-16 10:32:01,148.9.19.27,GET,/indexN.html,500,9740,4,server_error
196247,2024-06-16 10:32:05,14.121.165.122,GET,/searchN,500,9203,4,server_error
196248,2024-06-16 10:32:09,12.104.185.44,GET,/productsN,504,6353,4,server_error
196249,2024-06-16 10:32:12,119.123.55.141,GET,/searchN,500,9861,4,server_error
196250,2024-06-16 10:32:16,197.82.237.190,GET,/indexN.html,500,8656,4,server_error
196251,2024-06-16 10:32:22,80.130.43.26,POST,/checkoutN,500,10966,4,server_error
196252,2024-06-16 10:32:29,199.242.130.73,GET,/api/v1/userN,504,11762,4,server_error
196253,2024-06-16 10:32:31,199.71.56.65,GET,/searchN,504,6294,4,server_error
196254,2024-06-16 10:32:37,14.252.124.193,GET,/indexN.html,504,9340,4,server_error
196255,2024-06-16 10:32:39,14.252.124.193,GET,/searchN,504,11170,4,server_error
196256,2024-06-16 10:32:42,215.143.100.205,GET,/api/v1/userN,504,6180,4,server_error
196257,2024-06-16 10:32:44,197.82.237.190,GET,/indexN.html,500,8964,4,server_error
196258,2024-06-16 10:32:46,162.240.218.117,GET,/productsN,500,9290,4,server_error
196259,2024-06-16 10:32:50,95.125.101.128,GET,/api/v1/userN,504,8588,4,server_error
196260,2024-06-16 10:32:54,14.121.165.122,GET,/searchN,504,7845,4,server_error
196261,2024-06-16 10:32:59,197.82.237.190,GET,/indexN.html,500,10039,4,server_error
196262,2024-06-16 10:33:02,80.130.43.26,GET,/indexN.html,504,10058,4,server_error
196263,2024-06-16 10:33:03,211.92.75.1,POST,/checkoutN,500,11989,4,server_error
196264,2024-06-16 10:33:06,187.91.79.110,GET,/cartN,504,10103,4,server_error
196265,2024-06-16 10:33:14,209.103.8.44,GET,/api/v1/userN,500,7141,4,server_error
196266,2024-06-16 10:33:16,80.130.43.26,GET,/api/v1/userN,500,9755,4,server_error
196267,2024-06-16 10:33:19,14.121.165.122,GET,/productsN,500,6395,4,server_error
196268,2024-06-16 10:33:31,196.45.2.86,GET,/productsN,500,6310,4,server_error
196269,2024-06-16 10:33:35,202.129.225.117,GET,/indexN.html,500,11994,4,server_error
196270,2024-06-16 10:33:36,139.94.203.41,GET,/cartN,500,11712,4,server_error
196271,2024-06-16 10:33:40,14.121.165.122,GET,/searchN,504,11522,4,server_error
196272,2024-06-16 10:33:43,119.123.55.141,GET,/api/v1/userN,504,10249,4,server_error
196273,2024-06-16 10:33:46,196.45.2.86,GET,/productsN,500,6668,4,server_error
196274,2024-06-16 10:33:48,139.94.203.41,GET,/api/v1/userN,504,11563,4,server_error
196275,2024-06-16 10:33:50,197.82.237.190,GET,/productsN,504,11546,4,server_error
196276,2024-06-16 10:33:51,80.130.43.26,GET,/cartN,500,6017,4,server_error
196277,2024-06-16 10:33:55,196.45.2.86,GET,/cartN,500,7996,4,server_error
196278,2024-06-16 10:34:00,139.94.203.41,GET,/searchN,500,11398,4,server_error
196279,2024-06-16 10:34:01,95.125.101.128,GET,/searchN,504,7478,4,server_error
196280,2024-06-16 10:34:03,14.121.165.122,GET,/searchN,500,6912,4,server_error
196281,2024-06-16 10:34:06,14.252.124.193,GET,/searchN,504,11190,4,server_error
196282,2024-06-16 10:34:14,162.240.218.117,GET,/cartN,500,11132,4,server_error
196283,2024-06-16 10:34:20,199.242.130.73,GET,/cartN,500,11870,4,server_error
196284,2024-06-16 10:34:23,14.121.165.122,GET,/cartN,504,7487,4,server_error
196285,2024-06-16 10:34:24,14.252.124.193,GET,/searchN,504,11457,4,server_error
196286,2024-06-16 10:34:27,215.143.100.205,GET,/searchN,504,11141,4,server_error
196287,2024-06-16 10:34:28,162.240.218.117,GET,/indexN.html,504,11286,4,server_error
196288,2024-06-16 10:34:29,196.45.2.86,GET,/productsN,500,6795,4,server_error
196289,2024-06-16 10:34:29,139.94.203.41,POST,/checkoutN,504,11950,4,server_error
196290,2024-06-16 10:34:33,162.240.218.117,GET,/indexN.html,504,8198,4,server_error
196291,2024-06-16 10:34:35,95.125.101.128,GET,/api/v1/userN,500,10753,4,server_error
196292,2024-06-16 10:34:37,196.45.2.86,GET,/api/v1/userN,504,11325,4,server_error
196293,2024-06-16 10:34:44,196.45.2.86,GET,/searchN,504,11696,4,server_error
196294,2024-06-16 10:34:45,196.45.2.86,GET,/productsN,500,7356,4,server_error
196295,2024-06-16 10:34:47,14.252.124.193,GET,/searchN,500,9280,4,server_error
196296,2024-06-16 10:34:51,14.252.124.193,GET,/cartN,504,9656,4,server_error
196297,2024-06-16 10:34:54,95.125.101.128,GET,/indexN.html,500,9736,4,server_error
196298,2024-06-16 10:34:58,162.240.218.117,POST,/checkoutN,504,10957,4,server_error
196299,2024-06-16 10:35:03,139.94.203.41,GET,/cartN,504,9036,4,server_error
196300,2024-06-16 10:35:04,119.123.55.141,GET,/cartN,504,10459,4,server_error
196301,2024-06-16 10:35:08,215.143.100.205,GET,/api/v1/userN,500,7108,4,server_error
196302,2024-06-16 10:35:10,202.129.225.117,GET,/api/v1/userN,504,6243,4,server_error
196303,2024-06-16 10:35:14,12.104.185.44,GET,/searchN,504,7564,4,server_error
196304,2024-06-16 10:35:17,199.242.130.73,POST,/checkoutN,500,8532,4,server_error
196305,2024-06-16 10:35:24,162.240.218.117,GET,/cartN,500,11786,4,server_error
196306,2024-06-16 10:35:28,197.82.237.190,POST,/checkoutN,500,7492,4,server_error
196307,2024-06-16 10:35:30,215.143.100.205,POST,/checkoutN,500,11604,4,server_error
196308,2024-06-16 10:35:35,162.240.218.117,POST,/checkoutN,504,6850,4,server_error
196309,2024-06-16 10:35:41,215.143.100.205,POST,/checkoutN,504,9638,4,server_error
196310,2024-06-16 10:35:42,199.242.130.73,GET,/searchN,504,9377,4,server_error
196311,2024-06-16 10:35:51,162.240.218.117,GET,/api/v1/userN,504,10374,4,server_error
196312,2024-06-16 10:35:54,12.104.185.44,POST,/checkoutN,500,7776,4,server_error
196313,2024-06-16 10:35:57,162.240.218.117,GET,/cartN,500,6065,4,server_error
196314,2024-06-16 10:36:04,12.104.185.44,GET,/searchN,504,8025,4,server_error
196315,2024-06-16 10:36:05,148.9.19.27,GET,/api/v1/userN,504,10921,4,server_error
196316,2024-06-16 10:36:10,80.130.43.26,GET,/cartN,504,10861,4,server_error
196317,2024-06-16 10:36:11,148.9.19.27,GET,/cartN,500,7291,4,server_error
196318,2024-06-16 10:36:19,139.94.203.41,GET,/indexN.html,504,9041,4,server_error
196319,2024-06-16 10:36:20,12.104.185.44,GET,/api/v1/userN,500,7807,4,server_error
196320,2024-06-16 10:36:24,196.45.2.86,GET,/productsN,504,11770,4,server_error
196321,2024-06-16 10:36:27,12.104.185.44,GET,/productsN,500,6602,4,server_error
196322,2024-06-16 10:36:32,199.71.56.65,GET,/api/v1/userN,500,9975,4,server_error
196323,2024-06-16 10:36:34,139.94.203.41,GET,/indexN.html,500,7898,4,server_error
196324,2024-06-16 10:36:37,215.143.100.205,GET,/cartN,504,11000,4,server_error
196325,2024-06-16 10:36:42,80.130.43.26,GET,/cartN,500,7175,4,server_error
196326,2024-06-16 10:36:43,196.45.2.86,GET,/searchN,504,6096,4,server_error
196327,2024-06-16 10:36:48,197.82.237.190,GET,/cartN,500,8307,4,server_error
196328,2024-06-16 10:36:55,148.9.19.27,GET,/productsN,500,6152,4,server_error
196329,2024-06-16 10:37:01,209.103.8.44,GET,/cartN,504,6991,4,server_error
196330,2024-06-16 10:37:05,139.94.203.41,GET,/cartN,504,10797,4,server_error
196331,2024-06-16 10:37:05,187.91.79.110,GET,/cartN,504,7360,4,server_error
196332,2024-06-16 10:37:13,215.143.100.205,GET,/indexN.html,500,9400,4,server_error
196333,2024-06-16 10:37:18,119.123.55.141,GET,/api/v1/userN,504,11237,4,server_error
196334,2024-06-16 10:37:26,196.45.2.86,GET,/productsN,500,10761,4,server_error
196335,2024-06-16 10:37:31,199.242.130.73,GET,/productsN,504,8350,4,server_error
196336,2024-06-16 10:37:38,12.104.185.44,POST,/checkoutN,504,6555,4,server_error
196337,2024-06-16 10:37:41,14.252.124.193,GET,/cartN,504,7462,4,server_error
196338,2024-06-16 10:37:45,80.130.43.26,POST,/checkoutN,500,7916,4,server_error
196339,2024-06-16 10:37:49,211.92.75.1,GET,/cartN,500,11661,4,server_error
196340,2024-06-16 10:37:52,95.125.101.128,GET,/indexN.html,504,6106,4,server_error
196341,2024-06-16 10:37:56,211.92.75.1,GET,/indexN.html,504,11543,4,server_error
196342,2024-06-16 10:37:58,12.104.185.44,GET,/indexN.html,500,9187,4,server_error
196343,2024-06-16 10:37:58,14.121.165.122,GET,/api/v1/userN,504,9034,4,server_error
196344,2024-06-16 10:38:00,211.92.75.1,GET,/api/v1/userN,504,10127,4,server_error
196345,2024-06-16 10:38:04,12.104.185.44,GET,/searchN,504,10343,4,server_error
196346,2024-06-16 10:38:11,14.121.165.122,GET,/searchN,504,6842,4,server_error
196347,2024-06-16 10:38:15,119.123.55.141,POST,/checkoutN,504,8719,4,server_error
196348,2024-06-16 10:38:17,187.91.79.110,POST,/checkoutN,504,8054,4,server_error
196349,2024-06-16 10:38:20,209.103.8.44,POST,/checkoutN,504,8860,4,server_error
196350,2024-06-16 10:38:24,80.130.43.26,GET,/indexN.html,500,6588,4,server_error
196351,2024-06-16 10:38:27,215.143.100.205,GET,/indexN.html,500,10790,4,server_error
196352,2024-06-16 10:38:30,187.91.79.110,GET,/indexN.html,500,8720,4,server_error
196353,2024-06-16 10:38:31,162.240.218.117,GET,/indexN.html,504,10821,4,server_error
196354,2024-06-16 10:38:35,209.103.8.44,POST,/checkoutN,500,8461,4,server_error
196355,2024-06-16 10:38:48,139.94.203.41,GET,/productsN,500,10591,4,server_error
196356,2024-06-16 10:38:52,12.104.185.44,GET,/indexN.html,504,10476,4,server_error
196357,2024-06-16 10:38:54,148.9.19.27,GET,/productsN,504,6657,4,server_error
196358,2024-06-16 10:39:03,196.45.2.86,GET,/cartN,500,11269,4,server_error
196359,2024-06-16 10:39:03,196.45.2.86,GET,/searchN,500,11795,4,server_error
196360,2024-06-16 10:39:08,139.94.203.41,GET,/productsN,500,11013,4,server_error
196361,2024-06-16 10:39:12,14.252.124.193,GET,/searchN,504,7247,4,server_error
196362,2024-06-16 10:39:18,148.9.19.27,GET,/indexN.html,500,10845,4,server_error
196363,2024-06-16 10:39:27,14.121.165.122,POST,/checkoutN,500,10788,4,server_error
196364,2024-06-16 10:39:30,14.252.124.193,GET,/indexN.html,504,6514,4,server_error
196365,2024-06-16 10:39:33,202.129.225.117,GET,/searchN,500,10490,4,server_error
196366,2024-06-16 10:39:37,187.91.79.110,GET,/productsN,500,10257,4,server_error
196367,2024-06-16 10:39:42,80.130.43.26,POST,/checkoutN,504,9006,4,server_error
196368,2024-06-16 10:39:44,148.9.19.27,GET,/searchN,500,7766,4,server_error
196369,2024-06-16 10:39:48,131.33.12.73,GET,/cartN,500,10608,4,server_error
196370,2024-06-16 10:39:53,197.82.237.190,GET,/productsN,500,6442,4,server_error
196371,2024-06-16 10:39:55,12.104.185.44,GET,/api/v1/userN,500,10909,4,server_error
196372,2024-06-16 10:39:58,14.252.124.193,POST,/checkoutN,500,10232,4,server_error
196373,2024-06-16 10:40:00,211.92.75.1,GET,/searchN,504,6988,4,server_error
196374,2024-06-16 10:40:07,215.143.100.205,POST,/checkoutN,504,10198,4,server_error
196375,2024-06-16 10:40:11,197.82.237.190,GET,/cartN,504,6675,4,server_error
196376,2024-06-16 10:40:14,80.130.43.26,GET,/cartN,504,9632,4,server_error
196377,2024-06-16 10:40:19,199.71.56.65,GET,/indexN.html,504,7001,4,server_error
196378,2024-06-16 10:40:21,95.125.101.128,POST,/checkoutN,504,11943,4,server_error
196379,2024-06-16 10:40:26,14.121.165.122,GET,/indexN.html,504,7678,4,server_error
196380,2024-06-16 10:40:31,197.82.237.190,GET,/api/v1/userN,500,7859,4,server_error
196381,2024-06-16 10:40:32,14.121.165.122,GET,/api/v1/userN,500,8747,4,server_error
196382,2024-06-16 10:40:37,12.104.185.44,GET,/productsN,504,11513,4,server_error
196383,2024-06-16 10:40:40,211.92.75.1,POST,/checkoutN,504,10187,4,server_error
196384,2024-06-16 10:40:43,12.104.185.44,GET,/api/v1/userN,504,6319,4,server_error
196385,2024-06-16 10:40:47,139.94.203.41,GET,/productsN,504,9805,4,server_error
196386,2024-06-16 10:40:48,199.242.130.73,GET,/productsN,500,7840,4,server_error
196387,2024-06-16 10:40:54,119.123.55.141,GET,/productsN,500,9546,4,server_error
196388,2024-06-16 10:40:56,95.125.101.128,GET,/searchN,500,8938,4,server_error
196389,2024-06-16 10:40:59,139.94.203.41,GET,/productsN,504,8138,4,server_error
196390,2024-06-16 10:41:03,199.71.56.65,POST,/checkoutN,504,9587,4,server_error
196391,2024-06-16 10:41:08,95.125.101.128,POST,/checkoutN,504,6236,4,server_error
196392,2024-06-16 10:41:11,139.94.203.41,GET,/indexN.html,504,7064,4,server_error
196393,2024-06-16 10:41:12,95.125.101.128,GET,/api/v1/userN,500,11689,4,server_error
196394,2024-06-16 10:41:19,95.125.101.128,POST,/checkoutN,500,9532,4,server_error
196395,2024-06-16 10:41:24,14.252.124.193,GET,/cartN,500,9543,4,server_error
196396,2024-06-16 10:41:26,131.33.12.73,GET,/indexN.html,504,9689,4,server_error
196397,2024-06-16 10:41:27,139.94.203.41,POST,/checkoutN,500,6409,4,server_error
196398,2024-06-16 10:41:29,139.94.203.41,GET,/api/v1/userN,500,7672,4,server_error
196399,2024-06-16 10:41:32,162.240.218.117,GET,/searchN,504,11245,4,server_error
196400,2024-06-16 10:41:37,196.45.2.86,GET,/productsN,500,10581,4,server_error
196401,2024-06-16 10:41:41,148.9.19.27,GET,/api/v1/userN,500,10298,4,server_error
196402,2024-06-16 10:41:44,139.94.203.41,GET,/indexN.html,504,10253,4,server_error
196403,2024-06-16 10:41:47,199.71.56.65,GET,/productsN,504,7846,4,server_error
196404,2024-06-16 10:41:53,199.71.56.65,GET,/api/v1/userN,500,7604,4,server_error
196405,2024-06-16 10:41:57,131.33.12.73,GET,/searchN,504,11713,4,server_error
196406,2024-06-16 10:42:05,196.45.2.86,GET,/cartN,504,7416,4,server_error
196407,2024-06-16 10:42:09,162.240.218.117,POST,/checkoutN,500,9974,4,server_error
196408,2024-06-16 10:42:12,196.45.2.86,POST,/checkoutN,504,7632,4,server_error
196409,2024-06-16 10:42:17,139.94.203.41,GET,/productsN,504,8350,4,server_error
196410,2024-06-16 10:42:20,209.103.8.44,POST,/checkoutN,500,8480,4,server_error
196411,2024-06-16 10:42:33,139.94.203.41,GET,/indexN.html,500,11482,4,server_error
196412,2024-06-16 10:42:35,202.129.225.117,POST,/checkoutN,504,10831,4,server_error
196413,2024-06-16 10:42:36,119.123.55.141,GET,/searchN,504,11576,4,server_error
196414,2024-06-16 10:42:38,197.82.237.190,GET,/api/v1/userN,504,11158,4,server_error
196415,2024-06-16 10:42:42,187.91.79.110,GET,/cartN,504,7617,4,server_error
196416,2024-06-16 10:42:46,199.71.56.65,GET,/indexN.html,504,8167,4,server_error
196417,2024-06-16 10:42:53,209.103.8.44,GET,/productsN,500,7870,4,server_error
196418,2024-06-16 10:42:55,95.125.101.128,GET,/productsN,500,11361,4,server_error
196419,2024-06-16 10:42:57,14.121.165.122,GET,/productsN,504,11258,4,server_error
196420,2024-06-16 10:43:05,199.242.130.73,GET,/searchN,500,9694,4,server_error
196421,2024-06-16 10:43:10,199.71.56.65,GET,/indexN.html,504,9412,4,server_error
196422,2024-06-16 10:43:12,209.103.8.44,GET,/searchN,500,11267,4,server_error
196423,2024-06-16 10:43:16,196.45.2.86,GET,/api/v1/userN,504,11991,4,server_error
196424,2024-06-16 10:43:27,131.33.12.73,GET,/searchN,500,8859,4,server_error
196425,2024-06-16 10:43:31,199.242.130.73,GET,/searchN,504,11799,4,server_error
196426,2024-06-16 10:43:39,131.33.12.73,POST,/checkoutN,504,8523,4,server_error
196427,2024-06-16 10:43:42,197.82.237.190,GET,/searchN,504,10664,4,server_error
196428,2024-06-16 10:43:45,119.123.55.141,GET,/searchN,500,6853,4,server_error
196429,2024-06-16 10:43:49,12.104.185.44,GET,/indexN.html,500,8821,4,server_error
196430,2024-06-16 10:43:50,197.82.237.190,GET,/indexN.html,504,8670,4,server_error
196431,2024-06-16 10:43:52,215.143.100.205,GET,/indexN.html,500,6637,4,server_error
196432,2024-06-16 10:43:53,12.104.185.44,GET,/searchN,500,10899,4,server_error
196433,2024-06-16 10:43:57,215.143.100.205,GET,/api/v1/userN,504,7137,4,server_error
196434,2024-06-16 10:44:00,199.242.130.73,POST,/checkoutN,500,6929,4,server_error
196435,2024-06-16 10:44:04,199.242.130.73,POST,/checkoutN,504,6064,4,server_error
196436,2024-06-16 10:44:05,215.143.100.205,GET,/api/v1/userN,500,11813,4,server_error
196437,2024-06-16 10:44:15,211.92.75.1,GET,/indexN.html,500,6880,4,server_error
196438,2024-06-16 10:44:17,211.92.75.1,GET,/api/v1/userN,500,9872,4,server_error
196439,2024-06-16 10:44:21,215.143.100.205,GET,/cartN,504,7246,4,server_error
196440,2024-06-16 10:44:26,80.130.43.26,GET,/api/v1/userN,504,6455,4,server_error
196441,2024-06-16 10:44:30,119.123.55.141,GET,/api/v1/userN,500,7766,4,server_error
196442,2024-06-16 10:44:34,95.125.101.128,GET,/productsN,500,11875,4,server_error
196443,2024-06-16 10:44:36,139.94.203.41,GET,/cartN,500,6807,4,server_error
196444,2024-06-16 10:44:46,14.252.124.193,POST,/checkoutN,500,11254,4,server_error
196445,2024-06-16 10:44:49,211.92.75.1,POST,/checkoutN,504,6670,4,server_error
196446,2024-06-16 10:44:50,14.121.165.122,GET,/cartN,500,10031,4,server_error
196447,2024-06-16 10:44:52,162.240.218.117,GET,/indexN.html,500,10732,4,server_error
196448,2024-06-16 10:45:02,80.130.43.26,GET,/productsN,500,10024,4,server_error
196449,2024-06-16 10:45:07,199.242.130.73,GET,/cartN,504,10511,4,server_error
